image,weather,time_of_day,road_type,speed,severity
00001.jpg,cloudy,dusk,highway,67,moderate
00002.jpg,rainy,dusk,urban,20,severe
00003.jpg,cloudy,day,rural,69,severe
00004.jpg,cloudy,day,urban,42,severe
00005.jpg,cloudy,dusk,highway,88,moderate
00006.jpg,snowy,dawn,rural,84,moderate
00007.jpg,snowy,dawn,urban,79,severe
00008.jpg,snowy,day,rural,92,minor
00009.jpg,rainy,dusk,highway,53,severe
00010.jpg,cloudy,dawn,urban,69,minor
00011.jpg,snowy,dawn,rural,107,minor
00012.jpg,cloudy,day,urban,50,severe
00013.jpg,clear,dawn,highway,106,severe
00014.jpg,snowy,night,rural,35,minor
00015.jpg,rainy,night,rural,70,minor
00016.jpg,rainy,dawn,urban,29,moderate
00017.jpg,clear,day,urban,107,moderate
00018.jpg,rainy,dawn,highway,58,moderate
00019.jpg,cloudy,dusk,highway,41,minor
00020.jpg,cloudy,night,rural,82,severe
00021.jpg,cloudy,dawn,highway,94,minor
00022.jpg,cloudy,dawn,rural,112,minor
00023.jpg,snowy,dusk,highway,66,minor
00024.jpg,cloudy,dusk,urban,61,severe
00025.jpg,cloudy,night,highway,25,moderate
00026.jpg,rainy,dusk,highway,120,severe
00027.jpg,clear,night,rural,23,severe
00028.jpg,snowy,night,highway,31,severe
00029.jpg,cloudy,dusk,rural,77,minor
00030.jpg,rainy,dawn,urban,59,minor
00031.jpg,cloudy,night,urban,102,minor
00032.jpg,clear,dusk,urban,65,severe
00033.jpg,clear,night,urban,62,moderate
00034.jpg,rainy,dusk,rural,114,minor
00035.jpg,snowy,dusk,highway,74,minor
00036.jpg,snowy,dawn,rural,100,moderate
00037.jpg,cloudy,dawn,urban,22,moderate
00038.jpg,cloudy,dusk,rural,48,minor
00039.jpg,cloudy,day,highway,115,severe
00040.jpg,clear,night,urban,28,minor
00041.jpg,rainy,dawn,highway,115,minor
00042.jpg,snowy,dawn,urban,48,moderate
00043.jpg,clear,night,rural,91,severe
00044.jpg,snowy,dawn,urban,103,severe
00045.jpg,snowy,night,urban,106,minor
00046.jpg,rainy,dawn,highway,62,minor
00047.jpg,rainy,dusk,urban,20,minor
00048.jpg,cloudy,night,highway,92,severe
00049.jpg,cloudy,dusk,rural,106,severe
00050.jpg,clear,night,rural,66,moderate
00051.jpg,rainy,day,highway,32,minor
00052.jpg,rainy,night,highway,93,moderate
00053.jpg,rainy,day,rural,27,moderate
00054.jpg,clear,dawn,highway,38,severe
00055.jpg,cloudy,night,rural,100,severe
00056.jpg,clear,dawn,urban,84,severe
00057.jpg,snowy,day,rural,40,severe
00058.jpg,rainy,night,rural,108,severe
00059.jpg,clear,night,rural,60,minor
00060.jpg,cloudy,day,urban,88,moderate
00061.jpg,snowy,dawn,rural,65,minor
00062.jpg,cloudy,dawn,highway,69,minor
00063.jpg,cloudy,day,urban,75,minor
00064.jpg,rainy,dawn,urban,106,severe
00065.jpg,snowy,night,urban,33,minor
00066.jpg,clear,night,highway,55,minor
00067.jpg,clear,night,urban,96,severe
00068.jpg,snowy,dawn,urban,46,severe
00069.jpg,clear,night,rural,103,minor
00070.jpg,clear,dusk,urban,56,minor
00071.jpg,snowy,dusk,rural,68,minor
00072.jpg,rainy,night,highway,91,moderate
00073.jpg,rainy,night,urban,107,moderate
00074.jpg,cloudy,night,highway,23,minor
00075.jpg,clear,dusk,rural,37,moderate
00076.jpg,clear,night,highway,108,moderate
00077.jpg,snowy,dawn,highway,104,moderate
00078.jpg,snowy,night,rural,85,severe
00079.jpg,snowy,night,urban,116,severe
00080.jpg,clear,dawn,rural,100,minor
00081.jpg,cloudy,dawn,rural,24,moderate
00082.jpg,snowy,dusk,highway,61,moderate
00083.jpg,snowy,day,urban,77,moderate
00084.jpg,rainy,dawn,urban,36,minor
00085.jpg,rainy,night,urban,51,minor
00086.jpg,snowy,dawn,highway,63,severe
00087.jpg,rainy,dusk,urban,109,moderate
00088.jpg,rainy,day,rural,68,minor
00089.jpg,cloudy,day,rural,120,moderate
00090.jpg,rainy,night,rural,108,moderate
00091.jpg,clear,dusk,highway,31,minor
00092.jpg,clear,day,urban,64,minor
00093.jpg,snowy,day,rural,50,severe
00094.jpg,clear,dusk,rural,73,severe
00095.jpg,clear,day,urban,107,minor
00096.jpg,rainy,dusk,urban,78,minor
00097.jpg,rainy,night,highway,27,minor
00098.jpg,rainy,day,urban,80,severe
00099.jpg,snowy,dusk,urban,78,moderate
00100.jpg,snowy,day,rural,81,moderate
00101.jpg,cloudy,night,highway,63,severe
00102.jpg,rainy,day,highway,23,moderate
00103.jpg,cloudy,night,highway,116,moderate
00104.jpg,clear,night,highway,106,minor
00105.jpg,snowy,dawn,rural,57,severe
00106.jpg,snowy,dusk,highway,83,minor
00107.jpg,rainy,dusk,highway,53,minor
00108.jpg,cloudy,dusk,rural,20,minor
00109.jpg,cloudy,dusk,urban,87,minor
00110.jpg,clear,night,urban,33,severe
00111.jpg,rainy,dusk,urban,61,moderate
00112.jpg,rainy,dusk,urban,68,moderate
00113.jpg,snowy,day,urban,51,moderate
00114.jpg,snowy,dawn,highway,105,moderate
00115.jpg,cloudy,dawn,urban,33,minor
00116.jpg,rainy,day,urban,61,moderate
00117.jpg,snowy,dawn,rural,89,moderate
00118.jpg,clear,dawn,rural,48,moderate
00119.jpg,snowy,night,highway,52,minor
00120.jpg,rainy,dusk,urban,90,severe
00121.jpg,clear,day,urban,80,minor
00122.jpg,clear,dusk,highway,55,moderate
00123.jpg,clear,day,highway,64,severe
00124.jpg,cloudy,dawn,rural,64,moderate
00125.jpg,rainy,day,urban,71,moderate
00126.jpg,cloudy,dusk,urban,104,severe
00127.jpg,rainy,dawn,highway,110,severe
00128.jpg,rainy,dawn,rural,64,minor
00129.jpg,clear,dusk,rural,57,severe
00130.jpg,rainy,day,rural,89,severe
00131.jpg,clear,dawn,highway,72,severe
00132.jpg,snowy,day,urban,97,moderate
00133.jpg,clear,dusk,rural,64,severe
00134.jpg,clear,night,urban,34,minor
00135.jpg,clear,night,urban,26,moderate
00136.jpg,snowy,dusk,rural,36,severe
00137.jpg,cloudy,dusk,urban,53,minor
00138.jpg,cloudy,night,urban,105,severe
00139.jpg,clear,dusk,urban,27,moderate
00140.jpg,cloudy,dusk,urban,74,minor
00141.jpg,rainy,night,urban,113,moderate
00142.jpg,rainy,dusk,urban,101,minor
00143.jpg,snowy,dusk,urban,99,severe
00144.jpg,rainy,dusk,urban,73,minor
00145.jpg,snowy,dusk,rural,109,moderate
00146.jpg,snowy,night,rural,65,moderate
00147.jpg,rainy,night,urban,75,moderate
00148.jpg,rainy,dawn,highway,80,moderate
00149.jpg,snowy,dawn,urban,68,moderate
00150.jpg,clear,day,urban,94,moderate
00151.jpg,snowy,night,rural,113,severe
00152.jpg,cloudy,day,rural,95,minor
00153.jpg,cloudy,dawn,urban,81,moderate
00154.jpg,clear,day,rural,44,minor
00155.jpg,snowy,night,urban,86,severe
00156.jpg,rainy,dusk,highway,30,minor
00157.jpg,rainy,dawn,highway,109,minor
00158.jpg,clear,dawn,urban,69,severe
00159.jpg,cloudy,day,rural,88,severe
00160.jpg,cloudy,day,rural,41,moderate
00161.jpg,clear,dusk,rural,38,minor
00162.jpg,snowy,day,urban,44,minor
00163.jpg,snowy,night,highway,33,minor
00164.jpg,cloudy,night,highway,107,minor
00165.jpg,cloudy,dusk,urban,102,moderate
00166.jpg,snowy,night,urban,100,minor
00167.jpg,clear,dusk,rural,27,severe
00168.jpg,rainy,dusk,rural,100,minor
00169.jpg,snowy,night,rural,90,minor
00170.jpg,cloudy,day,highway,94,moderate
00171.jpg,cloudy,dawn,urban,76,severe
00172.jpg,cloudy,night,urban,72,moderate
00173.jpg,clear,dusk,urban,113,severe
00174.jpg,rainy,dusk,highway,27,severe
00175.jpg,snowy,dusk,urban,41,severe
00176.jpg,clear,night,rural,55,moderate
00177.jpg,rainy,dusk,highway,56,minor
00178.jpg,snowy,night,highway,73,moderate
00179.jpg,rainy,dusk,rural,21,minor
00180.jpg,snowy,dawn,urban,39,minor
00181.jpg,clear,dusk,urban,92,severe
00182.jpg,clear,day,highway,60,minor
00183.jpg,snowy,night,highway,83,minor
00184.jpg,snowy,day,urban,74,severe
00185.jpg,clear,dusk,urban,31,minor
00186.jpg,clear,day,rural,64,moderate
00187.jpg,snowy,dawn,rural,34,severe
00188.jpg,snowy,dawn,highway,79,severe
00189.jpg,snowy,day,highway,30,severe
00190.jpg,cloudy,dawn,urban,36,moderate
00191.jpg,snowy,dawn,rural,27,moderate
00192.jpg,clear,dawn,highway,81,moderate
00193.jpg,cloudy,day,urban,32,moderate
00194.jpg,clear,dusk,highway,50,moderate
00195.jpg,clear,night,rural,69,severe
00196.jpg,rainy,day,rural,30,minor
00197.jpg,snowy,day,urban,27,moderate
00198.jpg,rainy,dusk,highway,52,severe
00199.jpg,clear,dawn,rural,89,moderate
00200.jpg,snowy,night,urban,47,moderate
00201.jpg,rainy,dusk,urban,97,minor
00202.jpg,rainy,night,rural,75,severe
00203.jpg,clear,dusk,rural,59,minor
00204.jpg,cloudy,dawn,highway,26,moderate
00205.jpg,cloudy,dusk,highway,74,moderate
00206.jpg,snowy,night,urban,95,moderate
00207.jpg,snowy,dawn,urban,36,moderate
00208.jpg,rainy,dawn,urban,96,moderate
00209.jpg,clear,day,urban,102,severe
00210.jpg,snowy,night,urban,110,moderate
00211.jpg,clear,dawn,urban,115,moderate
00212.jpg,cloudy,dusk,highway,33,severe
00213.jpg,clear,dawn,highway,72,moderate
00214.jpg,snowy,dusk,highway,50,severe
00215.jpg,rainy,dawn,urban,85,severe
00216.jpg,clear,day,urban,67,moderate
00217.jpg,rainy,dusk,rural,112,minor
00218.jpg,clear,dawn,urban,113,minor
00219.jpg,cloudy,night,urban,85,minor
00220.jpg,snowy,night,urban,31,minor
00221.jpg,clear,day,urban,110,minor
00222.jpg,clear,night,urban,22,minor
00223.jpg,rainy,night,rural,32,severe
00224.jpg,rainy,night,rural,95,moderate
00225.jpg,snowy,day,highway,120,moderate
00226.jpg,snowy,night,rural,92,minor
00227.jpg,clear,dusk,highway,99,minor
00228.jpg,clear,dusk,highway,20,minor
00229.jpg,rainy,day,highway,114,moderate
00230.jpg,snowy,dawn,rural,90,minor
00231.jpg,cloudy,dusk,rural,66,moderate
00232.jpg,rainy,night,highway,70,minor
00233.jpg,rainy,dawn,rural,66,severe
00234.jpg,cloudy,day,urban,47,moderate
00235.jpg,clear,dusk,highway,31,minor
00236.jpg,clear,night,rural,23,minor
00237.jpg,clear,dawn,urban,44,moderate
00238.jpg,rainy,day,urban,120,minor
00239.jpg,cloudy,night,highway,90,moderate
00240.jpg,clear,night,rural,85,minor
00241.jpg,snowy,day,highway,65,minor
00242.jpg,clear,dusk,urban,42,moderate
00243.jpg,rainy,dawn,highway,35,severe
00244.jpg,cloudy,dusk,highway,109,minor
00245.jpg,cloudy,night,urban,93,severe
00246.jpg,cloudy,night,urban,92,minor
00247.jpg,rainy,day,urban,32,severe
00248.jpg,clear,dusk,highway,96,minor
00249.jpg,rainy,day,rural,39,minor
00250.jpg,rainy,dusk,rural,89,severe
00251.jpg,cloudy,dusk,urban,71,moderate
00252.jpg,cloudy,dawn,highway,65,minor
00253.jpg,cloudy,day,rural,60,minor
00254.jpg,snowy,dusk,highway,93,moderate
00255.jpg,clear,dawn,rural,97,moderate
00256.jpg,clear,dawn,urban,45,minor
00257.jpg,snowy,night,highway,53,minor
00258.jpg,rainy,dawn,rural,26,minor
00259.jpg,rainy,day,urban,33,severe
00260.jpg,rainy,dawn,rural,28,moderate
00261.jpg,clear,day,rural,64,minor
00262.jpg,clear,dusk,rural,76,minor
00263.jpg,clear,day,rural,36,moderate
00264.jpg,clear,dusk,highway,97,minor
00265.jpg,rainy,dawn,highway,83,minor
00266.jpg,snowy,dawn,urban,34,severe
00267.jpg,snowy,dawn,highway,102,minor
00268.jpg,clear,dawn,highway,20,moderate
00269.jpg,cloudy,night,highway,58,minor
00270.jpg,clear,night,urban,78,minor
00271.jpg,snowy,dawn,highway,115,severe
00272.jpg,clear,day,highway,58,minor
00273.jpg,snowy,night,highway,95,moderate
00274.jpg,cloudy,night,rural,58,severe
00275.jpg,snowy,day,urban,66,moderate
00276.jpg,clear,night,urban,60,severe
00277.jpg,cloudy,night,highway,22,minor
00278.jpg,rainy,dusk,highway,48,severe
00279.jpg,rainy,night,rural,84,severe
00280.jpg,rainy,dawn,rural,114,minor
00281.jpg,rainy,day,rural,22,minor
00282.jpg,snowy,night,highway,88,minor
00283.jpg,cloudy,day,highway,103,moderate
00284.jpg,rainy,dawn,highway,32,moderate
00285.jpg,rainy,dawn,rural,74,moderate
00286.jpg,clear,dawn,highway,62,moderate
00287.jpg,snowy,day,rural,40,moderate
00288.jpg,clear,day,highway,49,minor
00289.jpg,snowy,day,highway,54,severe
00290.jpg,rainy,night,rural,60,severe
00291.jpg,rainy,day,urban,80,severe
00292.jpg,cloudy,day,urban,90,moderate
00293.jpg,clear,dusk,urban,69,severe
00294.jpg,cloudy,day,urban,38,severe
00295.jpg,snowy,day,highway,54,minor
00296.jpg,rainy,night,rural,34,minor
00297.jpg,snowy,dusk,urban,24,severe
00298.jpg,cloudy,day,urban,87,moderate
00299.jpg,cloudy,night,highway,111,moderate
00300.jpg,snowy,night,urban,36,moderate
00301.jpg,rainy,dawn,urban,56,minor
00302.jpg,rainy,night,highway,67,moderate
00303.jpg,cloudy,night,urban,53,minor
00304.jpg,snowy,dawn,urban,40,minor
00305.jpg,rainy,night,urban,102,severe
00306.jpg,cloudy,dawn,highway,60,severe
00307.jpg,snowy,night,urban,40,severe
00308.jpg,rainy,night,urban,111,minor
00309.jpg,rainy,dawn,urban,40,severe
00310.jpg,rainy,night,rural,89,minor
00311.jpg,rainy,day,highway,86,moderate
00312.jpg,rainy,dawn,highway,51,minor
00313.jpg,rainy,night,rural,27,minor
00314.jpg,clear,day,highway,103,severe
00315.jpg,snowy,dusk,highway,26,minor
00316.jpg,rainy,night,highway,65,minor
00317.jpg,cloudy,dawn,urban,51,severe
00318.jpg,rainy,night,rural,77,severe
00319.jpg,cloudy,dusk,rural,53,moderate
00320.jpg,cloudy,night,highway,102,minor
00321.jpg,rainy,day,highway,29,minor
00322.jpg,snowy,night,highway,116,moderate
00323.jpg,snowy,dusk,rural,88,severe
00324.jpg,snowy,night,highway,93,moderate
00325.jpg,clear,night,rural,54,moderate
00326.jpg,rainy,day,rural,100,minor
00327.jpg,rainy,night,rural,35,severe
00328.jpg,cloudy,night,highway,58,moderate
00329.jpg,cloudy,dusk,urban,111,moderate
00330.jpg,cloudy,night,highway,91,severe
00331.jpg,rainy,dawn,urban,52,moderate
00332.jpg,clear,dawn,rural,25,severe
00333.jpg,clear,day,highway,39,minor
00334.jpg,cloudy,dusk,highway,44,moderate
00335.jpg,cloudy,dusk,rural,71,severe
00336.jpg,rainy,dawn,rural,82,moderate
00337.jpg,cloudy,dawn,urban,38,minor
00338.jpg,snowy,night,highway,33,minor
00339.jpg,snowy,day,rural,114,moderate
00340.jpg,cloudy,night,urban,52,severe
00341.jpg,cloudy,dusk,urban,92,moderate
00342.jpg,snowy,day,urban,22,severe
00343.jpg,cloudy,dusk,rural,45,moderate
00344.jpg,snowy,dawn,highway,29,minor
00345.jpg,snowy,night,urban,43,minor
00346.jpg,cloudy,day,urban,107,moderate
00347.jpg,clear,day,rural,114,minor
00348.jpg,snowy,day,highway,42,severe
00349.jpg,rainy,dusk,urban,46,severe
00350.jpg,rainy,night,highway,62,moderate
00351.jpg,rainy,dawn,highway,41,minor
00352.jpg,snowy,day,urban,97,severe
00353.jpg,rainy,dawn,rural,54,minor
00354.jpg,rainy,dusk,rural,32,severe
00355.jpg,cloudy,dusk,rural,59,moderate
00356.jpg,clear,day,urban,73,minor
00357.jpg,rainy,dusk,rural,30,severe
00358.jpg,snowy,night,rural,69,severe
00359.jpg,snowy,night,highway,26,minor
00360.jpg,cloudy,night,urban,119,moderate
00361.jpg,clear,dawn,rural,107,severe
00362.jpg,rainy,night,rural,117,severe
00363.jpg,rainy,night,highway,25,minor
00364.jpg,snowy,dusk,rural,86,minor
00365.jpg,snowy,dawn,urban,67,severe
00366.jpg,cloudy,dawn,urban,44,minor
00367.jpg,snowy,dusk,highway,84,moderate
00368.jpg,rainy,night,rural,24,severe
00369.jpg,clear,day,urban,53,minor
00370.jpg,clear,day,urban,89,minor
00371.jpg,snowy,day,urban,77,moderate
00372.jpg,rainy,day,urban,70,minor
00373.jpg,clear,night,rural,51,minor
00374.jpg,clear,night,highway,48,moderate
00375.jpg,clear,night,urban,58,severe
00376.jpg,clear,dusk,rural,66,moderate
00377.jpg,clear,dusk,highway,24,severe
00378.jpg,clear,night,rural,104,minor
00379.jpg,clear,dawn,rural,32,minor
00380.jpg,rainy,day,urban,94,minor
00381.jpg,snowy,night,highway,47,minor
00382.jpg,cloudy,dawn,urban,114,moderate
00383.jpg,clear,dawn,urban,83,severe
00384.jpg,cloudy,dawn,rural,45,moderate
00385.jpg,cloudy,dusk,highway,103,moderate
00386.jpg,clear,night,urban,46,severe
00387.jpg,cloudy,dawn,rural,73,moderate
00388.jpg,snowy,dawn,highway,82,minor
00389.jpg,cloudy,dusk,highway,111,moderate
00390.jpg,clear,dusk,highway,34,moderate
00391.jpg,cloudy,dawn,rural,114,moderate
00392.jpg,cloudy,dusk,highway,78,severe
00393.jpg,snowy,dawn,highway,85,severe
00394.jpg,clear,dusk,highway,103,severe
00395.jpg,clear,night,highway,75,severe
00396.jpg,cloudy,dusk,rural,104,severe
00397.jpg,cloudy,dawn,highway,85,moderate
00398.jpg,rainy,night,rural,88,moderate
00399.jpg,cloudy,day,rural,26,severe
00400.jpg,clear,day,rural,35,severe
00401.jpg,snowy,dawn,urban,32,severe
00402.jpg,snowy,night,highway,107,moderate
