image,weather,time_of_day,road_type,speed,severity
00001.jpg,cloudy,day,urban,47,minor
00002.jpg,rainy,night,urban,20,severe
00003.jpg,rainy,dawn,rural,71,moderate
00004.jpg,snowy,dawn,highway,36,minor
00005.jpg,cloudy,dusk,rural,82,severe
00006.jpg,clear,night,highway,36,minor
00007.jpg,cloudy,day,urban,23,minor
00008.jpg,rainy,day,highway,114,moderate
00009.jpg,cloudy,dusk,urban,33,minor
00010.jpg,clear,night,urban,93,minor
00011.jpg,snowy,day,urban,85,moderate
00012.jpg,cloudy,night,urban,38,minor
00013.jpg,cloudy,dusk,urban,97,minor
00014.jpg,rainy,dusk,highway,112,moderate
00015.jpg,snowy,day,urban,92,severe
00016.jpg,clear,day,rural,73,severe
00017.jpg,snowy,dawn,urban,89,severe
00018.jpg,snowy,night,urban,116,moderate
00019.jpg,clear,day,urban,91,moderate
00020.jpg,rainy,night,urban,81,severe
00021.jpg,cloudy,dawn,rural,42,minor
00022.jpg,snowy,night,highway,59,severe
00023.jpg,clear,dawn,rural,41,minor
00024.jpg,rainy,night,urban,25,moderate
00025.jpg,cloudy,dawn,rural,20,moderate
00026.jpg,rainy,day,rural,51,minor
00027.jpg,cloudy,dawn,rural,65,moderate
00028.jpg,cloudy,dusk,highway,34,severe
00029.jpg,clear,dawn,highway,80,moderate
00030.jpg,cloudy,night,rural,56,severe
00031.jpg,rainy,day,rural,88,moderate
00032.jpg,clear,dawn,rural,75,moderate
00033.jpg,snowy,day,rural,41,minor
00034.jpg,cloudy,dusk,rural,70,severe
00035.jpg,snowy,day,highway,96,moderate
00036.jpg,rainy,night,rural,25,minor
00037.jpg,rainy,dusk,highway,102,moderate
00038.jpg,snowy,day,urban,33,minor
00039.jpg,cloudy,night,urban,111,moderate
00040.jpg,snowy,night,rural,26,moderate
00041.jpg,cloudy,day,rural,107,minor
00042.jpg,snowy,dawn,urban,24,minor
00043.jpg,clear,day,rural,88,minor
00044.jpg,clear,dawn,highway,89,severe
00045.jpg,cloudy,dusk,urban,26,minor
00046.jpg,rainy,day,rural,111,moderate
00047.jpg,rainy,dusk,rural,97,moderate
00048.jpg,cloudy,dusk,urban,59,minor
00049.jpg,clear,night,urban,35,severe
00050.jpg,snowy,day,urban,119,moderate
00051.jpg,snowy,night,rural,31,minor
00052.jpg,cloudy,day,highway,50,moderate
00053.jpg,cloudy,dawn,rural,79,severe
00054.jpg,snowy,night,urban,94,minor
00055.jpg,clear,dusk,urban,91,severe
00056.jpg,cloudy,dawn,highway,92,minor
00057.jpg,cloudy,dusk,rural,61,moderate
00058.jpg,rainy,day,rural,26,minor
00059.jpg,rainy,dusk,urban,114,minor
00060.jpg,clear,night,urban,103,severe
00061.jpg,cloudy,day,rural,69,moderate
00062.jpg,rainy,dusk,urban,112,minor
00063.jpg,snowy,night,highway,77,minor
00064.jpg,clear,day,highway,54,moderate
00065.jpg,snowy,dusk,rural,42,severe
00066.jpg,snowy,dawn,rural,59,severe
00067.jpg,rainy,day,highway,74,moderate
00068.jpg,cloudy,night,rural,93,moderate
00069.jpg,snowy,dusk,highway,96,minor
00070.jpg,cloudy,dawn,highway,111,moderate
00071.jpg,snowy,dawn,highway,120,moderate
00072.jpg,clear,day,highway,87,minor
00073.jpg,clear,dawn,highway,33,severe
00074.jpg,clear,day,urban,104,moderate
00075.jpg,rainy,night,highway,117,moderate
00076.jpg,cloudy,dawn,highway,108,minor
00077.jpg,cloudy,day,urban,60,minor
00078.jpg,snowy,night,rural,68,severe
00079.jpg,cloudy,dusk,highway,93,moderate
00080.jpg,clear,dawn,rural,89,moderate
00081.jpg,rainy,day,highway,52,moderate
00082.jpg,snowy,dawn,urban,115,minor
00083.jpg,rainy,day,urban,72,moderate
00084.jpg,snowy,dawn,highway,89,moderate
00085.jpg,cloudy,day,urban,64,moderate
00086.jpg,cloudy,dawn,rural,115,severe
00087.jpg,cloudy,day,rural,79,moderate
00088.jpg,clear,day,highway,89,moderate
00089.jpg,snowy,night,rural,21,severe
00090.jpg,clear,day,highway,59,minor
00091.jpg,snowy,dawn,urban,97,severe
00092.jpg,rainy,day,urban,34,severe
00093.jpg,snowy,dawn,highway,32,minor
00094.jpg,rainy,night,rural,98,moderate
00095.jpg,rainy,dawn,urban,47,minor
00096.jpg,rainy,dawn,rural,67,minor
00097.jpg,snowy,night,urban,46,minor
00098.jpg,rainy,dawn,highway,85,minor
00099.jpg,clear,dawn,urban,38,moderate
00100.jpg,clear,dusk,urban,65,severe
00101.jpg,clear,night,highway,106,minor
00102.jpg,clear,night,rural,79,severe
00103.jpg,rainy,dusk,highway,83,moderate
00104.jpg,clear,dawn,highway,106,minor
00105.jpg,snowy,dusk,urban,106,severe
00106.jpg,clear,night,rural,69,severe
00107.jpg,rainy,night,highway,102,minor
00108.jpg,snowy,day,highway,109,moderate
00109.jpg,clear,night,urban,92,minor
00110.jpg,rainy,dawn,urban,87,severe
00111.jpg,snowy,night,highway,99,moderate
00112.jpg,clear,dawn,rural,57,moderate
00113.jpg,cloudy,dusk,rural,116,moderate
00114.jpg,clear,day,highway,58,minor
00115.jpg,clear,day,rural,96,severe
00116.jpg,snowy,day,urban,63,severe
00117.jpg,cloudy,dawn,highway,99,minor
00118.jpg,rainy,dusk,highway,85,minor
00119.jpg,rainy,dawn,rural,31,severe
00120.jpg,clear,dawn,rural,78,moderate
00121.jpg,snowy,night,rural,83,severe
00122.jpg,snowy,night,rural,78,minor
00123.jpg,cloudy,night,rural,49,moderate
00124.jpg,clear,day,rural,48,minor
00125.jpg,cloudy,dawn,highway,62,moderate
